EventID,Description,Threat,Category,Score,Impact,BaseConfidence,Finding,ImmediateAction,FollowUp
1116,Malware Detected,Malware Detection by Defender,Defense Evasion,5,2,2,Malware was detected by Windows Defender.,Quarantine any files identified in Defender detections or suspicious drop locations. Do not execute.,Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.
1118,Malware Action Failed,Defender Failed to Remove Malware,Defense Evasion,8,4,2,"Defender failed to remove a detected threat, indicating active malware may still be present.",Malware remediation failed. Do not reboot. Conduct offline analysis or engage IR support to remove the active threat.,Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.
1121,Behavior Monitoring Blocked Action,Suspicious Behavior Blocked,Execution,5,2,2,Suspicious behavior was blocked by Defender's behavior monitoring.,Acquire a memory image before rebooting. volatile artifacts will be lost on restart.,"Evaluate application whitelisting (e.g., AppLocker or WDAC) to restrict unauthorized execution."
1123,Controlled Folder Access Block,Ransomware Protection Triggered,Impact,7,3,3,"Controlled Folder Access was triggered, consistent with a ransomware attempt targeting protected directories.",Verify no files were encrypted prior to the Controlled Folder Access block. Audit all protected directories.,Verify backup integrity and ensure offline or immutable backups are available for all critical data.
1124,Exploit Protection Triggered,Exploit Attempt Blocked,Execution,7,3,3,"Exploit Protection blocked an execution attempt, indicating an active exploit was used against this host.",A process injection or exploit was detected. Audit all running processes for signs of compromise and terminate suspicious ones.,Review patch status of all software on this host and prioritize remediation of known exploited vulnerabilities.
1150,Remediation Failed,Failed to Remove Detected Threat,Defense Evasion,6,3,2,"Defender failed to remove a detected threat, indicating active malware may still be present.",Malware remediation failed. Do not reboot. Conduct offline analysis or engage IR support to remove the active threat.,Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.
2050,Real-time Scanning Disabled,Defender Real-time Scanning Disabled,Defense Evasion,8,4,3,"Windows Defender real-time or scheduled scanning was disabled, reducing detection capability.",Re-enable Windows Defender real-time and scheduled scanning.,Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.
3007,Advanced Threat Detected,Advanced Persistent Threat Identified,Execution,9,4,3,"An Advanced Persistent Threat was identified by Defender, indicating a sophisticated, targeted attack.",Advanced Persistent Threat detected. treat the entire host as compromised and escalate immediately.,Review patch status of all software on this host and prioritize remediation of known exploited vulnerabilities.
3020,Suspicious PowerShell Activity,PowerShell Execution Blocked,Execution,6,3,2,Malicious PowerShell or script activity was detected and blocked by Defender.,Review and disable PowerShell remoting and scripting on this host until the investigation is complete.,Enforce PowerShell Constrained Language Mode and enable Script Block Logging across the environment.
5001,Real-time Protection Disabled,Defender Real-time Protection Disabled,Defense Evasion,9,4,3,Windows Defender real-time protection was disabled. This is a primary defense evasion technique used by malware to prevent detection during or after installation.,Re-enable Windows Defender real-time protection immediately and run a full scan.,Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.
5007,Defender Configuration Changed,Defender Settings Modified,Defense Evasion,6,2,2,Windows Defender configuration was changed. Attackers modify Defender settings to reduce detection coverage. Common changes include adding exclusions for malware drop paths or disabling archive and script scanning.,"Review all recent Defender configuration changes via Event Viewer and revert unauthorized modifications.; Audit exclusion paths. Remove any entries covering Temp, Public, or ProgramData directories.",Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.; Consider alerting on all Defender configuration change events in your SIEM.
5004,Tamper Protection Disable Attempt Detected,Tamper Protection Disable Attempt Blocked,Defense Evasion,9,4,3,"Windows Defender Tamper Protection was disabled or targeted, removing endpoint protection prior to or during the attack.",Re-enable Windows Defender Tamper Protection and verify AV is fully operational.,Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.
5010,Scan Disabled,Defender Scanning Disabled,Defense Evasion,6,3,2,"Windows Defender real-time or scheduled scanning was disabled, reducing detection capability.",Re-enable Windows Defender real-time and scheduled scanning.,Enable Defender Tamper Protection organization-wide to prevent AV from being disabled without cloud authorization.
1005,Suspicious Script Detected,Windows Script Host Threat,Execution,6,3,2,A suspicious script was detected by Windows Script Host monitoring.,Review and disable PowerShell remoting and scripting on this host until the investigation is complete.,Enforce PowerShell Constrained Language Mode and enable Script Block Logging across the environment.
1006,Script Behavior Blocked,Malicious Script Behavior Prevented,Execution,7,3,3,Malicious PowerShell or script activity was detected and blocked by Defender.,Review and disable PowerShell remoting and scripting on this host until the investigation is complete.,Enforce PowerShell Constrained Language Mode and enable Script Block Logging across the environment.
1008,Network Protection Blocked Connection,Malicious Network Connection Blocked,Command and Control,7,3,3,A malicious outbound network connection was blocked by Defender Network Protection.,Block identified C2 IPs/domains at the perimeter firewall and review network logs for lateral spread.,"Review and tighten egress firewall rules. Block known C2 ports (4444, 1337, 9001, 9050) and known malicious domains identified in logs."
1013,History Deleted,Defender Detection History Cleared,Defense Evasion,6,3,2,"Defender detection history was cleared, indicating an attempt to hide prior malware detections.",Export all remaining event logs and Defender detection history immediately to prevent further evidence loss.,Configure log forwarding to a centralized SIEM or remote syslog server to prevent local log tampering.
